Column_Name,Label
Tax fraud scheme targets small businesses.,fraud
Securities fraud investigation rocks financial markets.,fraud
Pharmaceutical company accused of fraud in drug pricing.,fraud
Employee fraud scheme uncovered in retail industry.,fraud
Fraudulent claims lead to investigation in insurance sector.,fraud
Social media influencer charged with influencer fraud.,fraud
Fraudulent online diploma mill exposed by authorities.,fraud
"Fraudulent investment scheme collapses, investors lose millions.",fraud
Insurance company faces lawsuit over fraudulent policies.,fraud
Credit card skimming operation discovered at gas stations.,fraud
Investment advisor charged with securities fraud.,fraud
"Account takeover fraud on the rise, warns cybersecurity experts.",fraud
Wire transfer fraud results in loss of funds for businesses.,fraud
Counterfeit currency operation busted by law enforcement.,fraud
Fraudulent online marketplace scams customers.,fraud
Tech company accused of accounting fraud by shareholders.,fraud
Online dating scam preys on lonely hearts for financial gain.,fraud
Pyramid scheme targets vulnerable communities.,fraud
Fake charity organization deceives donors for personal gain.,fraud
Healthcare provider accused of billing fraud.,fraud
Email phishing scam targets government employees.,fraud
"Investment scam promises high returns, leaves investors empty-handed.",fraud
Credit repair fraud exploits individuals with poor credit.,fraud
Counterfeit luxury goods seized in international smuggling operation.,fraud
Fraudulent auto warranty scheme targets vehicle owners.,fraud
Art forgery scheme exposed in art market.,fraud
Social security number theft leads to identity fraud.,fraud
Fraudulent tax preparers charged with tax fraud.,fraud
Pension fraud scheme robs retirees of their savings.,fraud
Fraudulent immigration consultants prey on immigrants seeking visas.,fraud
Identity theft ring sells stolen identities on dark web.,fraud
Fake antivirus software scam infects computers with malware.,fraud
Social media click fraud undermines digital advertising industry.,fraud
Online survey scam tricks users into providing personal information.,fraud
Fraudulent home improvement contractor scams homeowners.,fraud
Deceptive timeshare resale scheme defrauds timeshare owners.,fraud
Counterfeit prescription drugs pose risks to public health.,fraud
Fraudulent vacation rental listings scam tourists out of deposits.,fraud
"Ransomware attack targets businesses, demands payment.",fraud
"Investment scam promises guaranteed returns, turns out to be Ponzi scheme.",fraud
Fake lottery scam lures victims with promises of cash prizes.,fraud
Mystery shopper scam deceives consumers with fake job offers.,fraud
Fraudulent psychic scams clients with false predictions.,fraud
Employment scam charges fees for nonexistent job opportunities.,fraud
E-commerce fraud involves fake sellers and non-delivery of goods.,fraud
Counterfeit merchandise sold on online auction sites.,fraud
Fraudulent pet adoption scam exploits animal lovers.,fraud
Medical billing fraud overcharges patients for services.,fraud
Identity theft ring steals personal information from public records.,fraud
Fraudulent immigration attorneys provide false promises of citizenship.,fraud
Counterfeit electronics sold online pose safety risks.,fraud
"Deceptive business opportunity scam promises riches, delivers losses.",fraud
"Investment fraudster promises high returns, disappears with funds.",fraud
Health insurance scam sells fake policies to unsuspecting customers.,fraud
Loan modification scam preys on homeowners facing foreclosure.,fraud
"Email scam impersonates government agencies, demands payments.",fraud
Fake tech support scam charges for unnecessary repairs.,fraud
Fraudulent modeling agency scams aspiring models.,fraud
Mortgage relief scam targets homeowners struggling with payments.,fraud
Counterfeit designer handbags sold on black market.,fraud
Work-at-home scam tricks victims into paying for nonexistent jobs.,fraud
Fake diploma scam sells fake degrees to students.,fraud
Tax preparer fraud leads to inaccurate tax filings.,fraud
Online romance scam dupes individuals looking for love.,fraud
Fraudulent investment advisor misappropriates client funds.,fraud
Wire fraud scam targets real estate transactions.,fraud
Fake charity solicits donations for nonexistent causes.,fraud
Insurance agent embezzles premiums from clients.,fraud
Investment scam uses social media influencers to promote fraudulent scheme.,fraud
Fake online reviews deceive consumers about product quality.,fraud
Healthcare fraudster bills for unnecessary medical procedures.,fraud
Identity theft ring compromises personal information of millions.,fraud
"Fraudulent timeshare resale company charges fees, fails to deliver results.",fraud
"Deceptive diet pill scam promises weight loss, delivers disappointment.",fraud
Internet auction scam involves non-delivery of purchased items.,fraud
Phony tech support company charges for free software fixes.,fraud
Fraudulent business opportunity misleads investors with false promises.,fraud
"Fake cryptocurrency scheme promises riches, disappears with investments.",fraud
Employment agency scam charges fees for nonexistent job placements.,fraud
Counterfeit currency circulated in black market.,fraud
Medical billing scam inflates charges for medical services.,fraud
Fake antivirus software scam poses as legitimate security program.,fraud
Email phishing scheme tricks users into revealing sensitive information.,fraud
"Fraudulent investment scheme promises guaranteed returns, collapses.",fraud
Credit repair scam charges fees for ineffective services.,fraud
"Online dating scammer poses as love interest, requests money.",fraud
Insurance fraudster submits false claims for fabricated injuries.,fraud
Pyramid scheme promoter entices recruits with promises of wealth.,fraud
Fake charity organization embezzles donations for personal use.,fraud
Healthcare provider submits fraudulent billing for services not rendered.,fraud
"Email scammer impersonates government agency, requests personal information.",fraud
Fake psychic promises to remove curses for a fee.,fraud
Employment scam offers fake jobs in exchange for payment.,fraud
E-commerce fraud involves fake sellers and non-delivery of goods.,fraud
"Timeshare resale scam charges fees, fails to sell timeshare.",fraud
"Fake lottery scam informs victims of bogus winnings, requests payment.",fraud
"Mystery shopper scam sends fake checks, requests refunds.",fraud
Fraudulent psychic predicts future events for payment.,fraud
Employment scammer charges fees for nonexistent job opportunities.,fraud
E-commerce scam sells counterfeit merchandise online.,fraud
"Pet adoption scam requests fees, fails to deliver pets.",fraud
Medical billing scam overcharges patients for services.,fraud
Identity theft ring compromises personal information from databases.,fraud
Immigration scammer promises citizenship for payment.,fraud
