,Status Number,Type,Class,Name,Min JT,years,Max JT,Years,Min Fine,Max Fine,Offense,DEG,DEG_NUM
0,53a-54b,F,A,MURDER-CAPITAL OFFENSE,999,Y,999,Y,$0,"$20,000",,,
1,53a-54b(1),F,A,MURDER-PEACE OFFICER,999,Y,999,Y,$0,"$20,000",,,
2,53a-54b(2),F,A,MURDER-PECUNIARY GAIN,999,Y,999,Y,$0,"$20,000",,,
3,53a-54b(3),F,A,MURDER-PRIOR MURDER CONVICTION,999,Y,999,Y,$0,"$20,000",,,
4,53a-54b(4),F,A,MURDER-SERVING LIFE SENTENCE,999,Y,999,Y,$0,"$20,000",,,
5,53a-54b(5),F,A,MURDER-VICTIM OF KIDNAPPING,999,Y,999,Y,$0,"$20,000",,,
6,53a-54b(6),F,A,MURDER-VICTIM OF SEX ASSAULT 1,999,Y,999,Y,$0,"$20,000",,,
7,53a-54b(7),F,A,MURDER- MULTIPLE VICTIMS,999,Y,999,Y,$0,"$20,000",,,
8,53a-54b(8),F,A,MURDER-VICTIM < 16 YEARS OLD,999,Y,999,Y,$0,"$20,000",,,
9,53a-54a,F,A,MURDER,25,Y,60,Y,$0,"$20,000",,,
10,53a-54c,F,A,MURDER-COMMISSION OF FELONY,25,Y,60,Y,$0,"$20,000",,,
11,53a-54d,F,A,MURDER-COMMISSION OF ARSON,25,Y,60,Y,$0,"$20,000",,,
12,53a-55a,F,B,MANSLAUGHTER 1ST DEG-FIREARM,5,Y,40,Y,$0,"$15,000",,1ST ,1.0
13,21a-277(a),F,U,SALE HLCGN/NARCOTIC (2ND OFF),0,Y,30,Y,$0,"$100,000",2ND OFF,,
14,21a-277(a),F,U,SALE HLCGN/NARCOTIC (SBS OFF),0,Y,30,Y,$0,"$250,000",SBS OFF,,
15,21a-277(a),F,U,POSSESS W/INTENT (2ND OFF),0,Y,30,Y,$0,"$100,000",2ND OFF,,
16,21a-277(a),F,U,POSS W/INTENT (3RD OFF),0,Y,30,Y,$0,"$250,000",3RD OFF,,
17,21a-278(b),F,U,POSSESS W/INTENT (SBS OFF),10,Y,25,Y,$0,$0,SBS OFF,,
18,21a-279(a),F,U,POSSESS NARCOTICS (SBS OFF),0,Y,25,Y,$0,"$250,000",SBS OFF,,
19,53a-48,F,A,CONSPIRACY (FELONY-CLASS A),10,Y,25,Y,$0,"$20,000",FELONY-CLASS A,,
20,53a-59c,F,A,ASSAULT TERMINATING PREGNANCY,10,Y,25,Y,$0,"$20,000",,,
21,53a-70(a)(1),F,A,SEX 1-VICTIM < 10YRS OLD FORCED,10,Y,25,Y,$0,"$20,000",,,
22,53a-70(a)(1),F,A,SEX 1-VICTIM < 16YRS OLD FORCED,10,Y,25,Y,$0,"$20,000",,,
23,53a-70(a)(2),F,A,"SEX 1-VICTIM<10YR,ACTOR>2Y OLDER",10,Y,25,Y,$0,"$20,000",,,
24,53a-70(a)(2),F,A,SEX 1-VICTIM<13YR ACTOR>2Y OLDER,10,Y,25,Y,$0,"$20,000",,,
25,53a-70a,F,A,AGGR SEX ASSLT 1- VICTIM <16 YRS,10,Y,25,Y,$0,"$20,000",,,
26,53a-70a,F,A,"AG SX 1-VIO 53A-70(A)(1),V<16Y",10,Y,25,Y,$0,"$20,000",A,,
27,53a-92,F,A,KIDNAP 1ST DEG,10,Y,25,Y,$0,"$20,000",,1ST ,1.0
28,53a-92a,F,A,KIDNAP 1ST DEG-FIREARM,10,Y,25,Y,$0,"$20,000",,1ST ,1.0
29,53a-111,F,A,ARSON 1ST DEG,10,Y,25,Y,$0,"$20,000",,1ST ,1.0
30,53a-196a,F,A,EMPLOY MINOR-OBSCENE PERFORMANCE,10,Y,25,Y,$0,"$20,000",,,
31,17b-90,F,B,VIOLATE PUBLIC ASSISTANCE REGS,1,Y,20,Y,$0,"$15,000",,,
32,17b-97(b),F,B,PUBLIC ASSISTANCE FRAUD >$2000,1,Y,20,Y,$0,"$15,000",,,
33,17b-97(d),F,B,FOOD STAMP FRAUD >$2000,1,Y,20,Y,$0,"$15,000",,,
34,17b-97(e),F,B,MISAPPROP FOOD STAMPS >$2000,1,Y,20,Y,$0,"$15,000",,,
35,17b-103,F,B,VENDOR REFUSE REFUND >$10000,1,Y,20,Y,$0,"$15,000",,,
36,17b-127,F,B,TOWN ASSISTANCE FRAUD >$10000,1,Y,20,Y,$0,"$15,000",,,
37,17b-127(c),F,B,GENL ASSIST FRAUD-AWARD >$2000,1,Y,20,Y,$0,"$15,000",,,
38,17b-340,F,B,AID PUB ASST FRAUD > $2000,1,Y,20,Y,$0,"$15,000",,,
39,21a-278(b),F,U,POSSESS W/INTENT TO SELL,5,Y,20,Y,$0,$0,,,
40,29-33,F,B,ILL TRANSFER STOLEN PISTOL/REVOLVER,1,Y,20,Y,$0,"$15,000",,,
41,31-290c,F,B,WORKERS' COMP FRAUD > $2000,1,Y,20,Y,$0,"$15,000",,,
42,33-1333(b)(2),F,U,WILLFUL CERT FALSE FIN STATEMT,0,Y,20,Y,$0,"$5,000,000",,,
43,53-21(a)(2),F,B,SEXUAL CONTACT-VICTIM<AGE 16,1,Y,20,Y,$0,"$15,000",,,
44,53-37b,F,B,DEPRIVE RIGHTS-RESULT IN DEATH,1,Y,20,Y,$0,"$15,000",,,
45,53-80a,F,B,ILL BOMB MANUFACTURE,1,Y,20,Y,$0,"$15,000",,,
46,53-209a,F,B,ILL MAKE CHEM/BIO/RAD WEAPON,1,Y,20,Y,$0,"$15,000",,,
47,53-390,F,B,EXTORTIONATE ADVANCE OF CREDIT,1,Y,20,Y,$0,"$15,000",,,
48,53-391,F,B,EXTORTIONATE ADVANCE OF MONEY,1,Y,20,Y,$0,"$15,000",,,
49,53-392,F,B,EXTORTIONATE COLLECTION,1,Y,20,Y,$0,"$15,000",,,
50,53-395,F,U,CORRUPT ORG & RACKETEERING ACT,1,Y,20,Y,$0,"$25,000",,,
51,53-442,F,B,HEALTH INSURANCE FRAUD >$10000,1,Y,20,Y,$0,"$15,000",,,
